"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 13:00:34 GMT 2024","Fri Apr 19 13:00:34 GMT 2024","0","tests","test_labels","","","","test_decorator_labels_1",""
"passed","Fri Apr 19 13:00:34 GMT 2024","Fri Apr 19 13:00:34 GMT 2024","1","tests","test_attachments","","","","test_attachments",""
"passed","Fri Apr 19 13:00:34 GMT 2024","Fri Apr 19 13:00:34 GMT 2024","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Fri Apr 19 13:00:40 GMT 2024","Fri Apr 19 13:00:40 GMT 2024","175","tests","test_steps","","","","test_dynamic_steps",""
"broken","Fri Apr 19 13:00:34 GMT 2024","Fri Apr 19 13:00:40 GMT 2024","5389","tests","test_selene","","","","test_github",""
"broken","Fri Apr 19 13:00:41 GMT 2024","Fri Apr 19 13:00:41 GMT 2024","174","tests","test_steps","","","","test_decorator_steps",""
"passed","Fri Apr 19 13:00:34 GMT 2024","Fri Apr 19 13:00:34 GMT 2024","0","tests","test_labels","","","","test_decorator_labels",""
